1950	11.525835413879
1951	11.311588823781
1952	11.249726583388
1953	11.564109390904
1954	10.978903896203
1955	11.21920528411
1956	10.328715689016
1957	11.598903876712
1958	11.408465549973
1959	12.631095699699
1960	11.650081794699
1961	12.379342236274
1962	10.52775323537
1963	10.114246397578
1964	11.38275938676
1965	10.971561453507
1966	11.756081985233
1967	11.701232665342
1968	11.090464290093
1969	11.53608201989
1970	11.473506658904
1971	11.56715050474
1972	11.103770307842
1973	11.620218986822
1974	11.883890231781
1975	11.709314883041
1976	12.339262089399
1977	11.708246394274
1978	10.951534060556
1979	10.942794385178
1980	10.98016373694
1981	11.710328589397
1982	12.253397079452
1983	12.192355988896
1984	11.619644638306
1985	10.924492965205
1986	11.140876471726
1987	10.989369681233
1988	12.275546234426
1989	12.772821722521
1990	12.928410769671
1991	11.66249298
1992	12.195354983552
1993	11.81871214137
1994	13.023807940548
1995	12.759314864384
1996	11.25792329735
1997	12.785698385205
1998	12.327095692923
1999	13.00449294726
2000	12.823906882268
2001	12.494082013726
2002	12.965040862137
2003	13.101835423671
2004	12.433633686339
2005	12.712438152789
2006	12.917123078356
2007	12.901095693589
2008	12.361775795628
2009	12.557945029096
2010	11.626657361353
2011	13.55832858463
2012	12.544863180765
2013	12.036575144301
2014	13.501177865205
2015	13.302931270411
2016	12.710163727339
2017	13.241671008548
2018	13.900629933836
2019	13.477263947642
